dataset,scheme,method,missing_rate,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
ionosphere,mar1,oracle,0.4,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mar1,oracle,0.5,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mar1,unlabeled,0.1,0.8873239436619718,0.03590858812389287,0.8527826086956521,0.042952913067925834,0.9178606494144048,0.025704870867488513,0.8928695652173912,0.03057977883088654
ionosphere,mar1,unlabeled,0.2,0.876056338028169,0.011783944035691258,0.8367826086956522,0.013311024184461537,0.9102002562974582,0.008564170737737185,0.8928695652173912,0.032787336759728385
ionosphere,mar1,unlabeled,0.3,0.8732394366197184,0.022269560987101304,0.8364347826086957,0.024532298065880337,0.9075952030296655,0.016275533585457354,0.8704347826086956,0.059191145304172466
ionosphere,mar1,unlabeled,0.4,0.8732394366197183,0.017249927766078754,0.8309565217391304,0.019607201331280497,0.9087119033805336,0.012424539842914785,0.8624347826086958,0.04010100668611795
ionosphere,mar1,unlabeled,0.5,0.8676056338028169,0.027455758717771707,0.8229565217391304,0.034034620425731625,0.9051565972923823,0.019093988294532953,0.8765217391304347,0.039739225573095144
ionosphere,mar2,naive,0.1,0.8816901408450704,0.016058808804213263,0.8429565217391305,0.02288171275993077,0.9143466458353677,0.011040363840733097,0.8993043478260869,0.024743676513610667
ionosphere,mar2,naive,0.2,0.8704225352112676,0.018363950437190572,0.8287826086956521,0.025499545939098416,0.9066027623170481,0.012280637997398654,0.910608695652174,0.011125678331521335
ionosphere,mar2,naive,0.3,0.8676056338028169,0.01889634910563207,0.826608695652174,0.02304429859081278,0.9042913832199547,0.013448577235814944,0.9017391304347825,0.020169414790857744
ionosphere,mar2,naive,0.4,0.856338028169014,0.04033189031908835,0.810608695652174,0.05426741877978716,0.897387391849944,0.026173200677398877,0.8673043478260869,0.032089195161685874
ionosphere,mar2,naive,0.5,0.8535211267605634,0.021360212518455043,0.8139130434782608,0.026353708627289963,0.8934807256235828,0.014912572566951509,0.8718260869565218,0.02679192384590626
ionosphere,mar2,oracle,0.1,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mar2,oracle,0.2,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mar2,oracle,0.3,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mar2,oracle,0.4,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mar2,oracle,0.5,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mar2,unlabeled,0.1,0.8816901408450704,0.012597566070421385,0.8429565217391305,0.016789590798117846,0.9143201423024692,0.008720438698773312,0.8725217391304347,0.015168866732831793
ionosphere,mar2,unlabeled,0.2,0.8816901408450704,0.025585777640260526,0.8520869565217393,0.0240262144168833,0.9122941877116659,0.020321616736899004,0.8940869565217391,0.02120562753000715
ionosphere,mar2,unlabeled,0.3,0.8873239436619718,0.028169014084507036,0.8619130434782608,0.029642801017682466,0.9158562930119629,0.021347098517856752,0.8626086956521739,0.027600991735832813
ionosphere,mar2,unlabeled,0.4,0.876056338028169,0.04386594789407729,0.8367826086956522,0.05784863894989569,0.9105706955408804,0.03065707894179087,0.8627826086956523,0.08951750523172072
ionosphere,mar2,unlabeled,0.5,0.8619718309859155,0.023143206655147876,0.8222608695652174,0.02613473884830664,0.8995902256770458,0.018216013225670857,0.8503478260869566,0.08139056112629822
ionosphere,mcar,naive,0.1,0.8873239436619718,0.028169014084507064,0.8527826086956523,0.04031140597642117,0.9179993486756406,0.018948455693315776,0.9121739130434783,0.03828062730966114
