dataset,scheme,method,missing_rate,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
madelon,mnar,oracle,0.3,0.5223076923076924,0.01158643871645547,0.5223076923076923,0.011586438716455446,0.5193505842035898,0.00930287317684427,0.542387573964497,0.017560762354228186
madelon,mnar,unlabeled,0.3,0.6088461538461538,0.0342015865232895,0.6088461538461538,0.0342015865232895,0.6005041642445653,0.03292900767232471,0.6278520710059171,0.038157070952226285
spambase,mar1,naive,0.3,0.9085776330076005,0.006349703156227342,0.8998104209247904,0.007548953961870981,0.8809331882556419,0.008839405466001891,0.96531542206029,0.006485935427606214
spambase,mar1,oracle,0.3,0.9144408251900108,0.006113219657007277,0.9062857312124175,0.008366474772588475,0.8887396613013558,0.009241532812660462,0.9682371120787543,0.004135713528817496
spambase,mar1,unlabeled,0.3,0.9040173724212812,0.005069540729610756,0.8955656269439262,0.006243751645465054,0.8753891717068288,0.0071776673585938625,0.9618615282838157,0.00609973497469804
spambase,mar2,naive,0.3,0.9131378935939196,0.007323961760712295,0.9056918155158625,0.007682116472762876,0.8876396236081054,0.0093467554770733,0.9671509819603662,0.006724868524016828
spambase,mar2,oracle,0.3,0.9144408251900108,0.006113219657007277,0.9062857312124175,0.008366474772588475,0.8887396613013558,0.009241532812660462,0.9682371120787543,0.004135713528817496
spambase,mar2,unlabeled,0.3,0.9120521172638437,0.008161398685327316,0.9054696525371012,0.008877401162180906,0.8868230031249892,0.010604843645181059,0.9626948863019245,0.0071494293916813815
spambase,mcar,naive,0.1,0.9122692725298588,0.006016023964036949,0.9040122633964277,0.0075636578023074285,0.8859519660242,0.008590064421204828,0.967328712343375,0.004177261236205385
spambase,mcar,naive,0.2,0.9103148751357221,0.007103334303494517,0.9014366539293226,0.008201177446743747,0.883065643393094,0.009694729516690967,0.9672971158308401,0.00457073009600148
spambase,mcar,naive,0.3,0.9103148751357221,0.006358979571920224,0.9016291951775823,0.008214208216221009,0.8831638446268656,0.009316744693352941,0.9662692417824383,0.0056643722298046015
spambase,mcar,naive,0.4,0.9107491856677523,0.007956599765716083,0.9022764299890399,0.009163176927757246,0.8838846253697706,0.010786608583356139,0.965200884702351,0.0053946394194856
spambase,mcar,naive,0.5,0.9129207383279045,0.008597538716538186,0.9051275215498089,0.008067409780806545,0.8871822326996395,0.010393834165363337,0.9645610553235187,0.006146914926989041
spambase,mcar,oracle,0.1,0.9144408251900108,0.006113219657007277,0.9062857312124175,0.008366474772588475,0.8887396613013558,0.009241532812660462,0.9682371120787543,0.004135713528817496
spambase,mcar,oracle,0.2,0.9144408251900108,0.006113219657007277,0.9062857312124175,0.008366474772588475,0.8887396613013558,0.009241532812660462,0.9682371120787543,0.004135713528817496
spambase,mcar,oracle,0.3,0.9144408251900108,0.006113219657007277,0.9062857312124175,0.008366474772588475,0.8887396613013558,0.009241532812660462,0.9682371120787543,0.004135713528817496
spambase,mcar,oracle,0.4,0.9144408251900108,0.006113219657007277,0.9062857312124175,0.008366474772588475,0.8887396613013558,0.009241532812660462,0.9682371120787543,0.004135713528817496
spambase,mcar,oracle,0.5,0.9144408251900108,0.006113219657007277,0.9062857312124175,0.008366474772588475,0.8887396613013558,0.009241532812660462,0.9682371120787543,0.004135713528817496
spambase,mcar,unlabeled,0.1,0.9053203040173724,0.005229791348009688,0.8965446251370006,0.006576827628367738,0.8767964234347213,0.007542279100977034,0.9631678465989317,0.004251869267237673
spambase,mcar,unlabeled,0.2,0.9057546145494028,0.003713926466120967,0.8971918599484582,0.005117160374316926,0.8775055840075062,0.005635868339430788,0.9634532026027628,0.004343419196633531
spambase,mcar,unlabeled,0.3,0.9083604777415852,0.006312461174266521,0.8999200213276459,0.006310068717061747,0.8809348108539771,0.007814200626087757,0.9616423274781045,0.005512602255653945
