dataset,scheme,method,seed,missing_rate,status,accuracy,balanced_accuracy,f1,roc_auc,train_size,valid_size,test_size,n_features_before_preprocessing,n_features_after_preprocessing,observed_label_fraction_train,label_completion_method
breast_cancer,mcar,unlabeled,43,0.3,ok,0.9649122807017544,0.9672619047619048,0.9534883720930233,0.984457671957672,341,114,114,30,24,0.718475073313783,logistic
breast_cancer,mcar,unlabeled,43,0.4,ok,0.9649122807017544,0.9623015873015872,0.9523809523809523,0.976521164021164,341,114,114,30,24,0.6392961876832844,logistic
breast_cancer,mcar,unlabeled,43,0.5,ok,0.9649122807017544,0.9672619047619048,0.9534883720930233,0.9841269841269842,341,114,114,30,24,0.5219941348973607,logistic
breast_cancer,mcar,unlabeled,44,0.1,ok,0.9473684210526315,0.933531746031746,0.925,0.9923941798941798,341,114,114,30,25,0.9266862170087976,logistic
breast_cancer,mcar,unlabeled,44,0.2,ok,0.9473684210526315,0.9384920634920635,0.926829268292683,0.9857804232804233,341,114,114,30,25,0.8005865102639296,logistic
breast_cancer,mcar,unlabeled,44,0.3,ok,0.9385964912280702,0.9265873015873016,0.9135802469135802,0.9904100529100529,341,114,114,30,25,0.7243401759530792,logistic
breast_cancer,mcar,unlabeled,44,0.4,ok,0.9298245614035088,0.9196428571428572,0.9024390243902439,0.9890873015873016,341,114,114,30,25,0.6070381231671554,logistic
breast_cancer,mcar,unlabeled,44,0.5,ok,0.9473684210526315,0.933531746031746,0.925,0.9904100529100529,341,114,114,30,25,0.4868035190615836,logistic
breast_cancer,mcar,unlabeled,45,0.1,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9914021164021163,341,114,114,30,24,0.9090909090909091,logistic
breast_cancer,mcar,unlabeled,45,0.2,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9914021164021163,341,114,114,30,24,0.8152492668621701,logistic
breast_cancer,mcar,unlabeled,45,0.3,ok,0.9824561403508771,0.9761904761904762,0.975609756097561,1.0,341,114,114,30,24,0.7155425219941349,logistic
breast_cancer,mcar,unlabeled,45,0.4,ok,0.9912280701754386,0.9880952380952381,0.9879518072289156,0.9996693121693122,341,114,114,30,24,0.6158357771260997,logistic
breast_cancer,mcar,unlabeled,45,0.5,ok,0.9736842105263158,0.9692460317460317,0.963855421686747,0.9993386243386244,341,114,114,30,24,0.5073313782991202,logistic
breast_cancer,mcar,unlabeled,46,0.1,ok,0.9912280701754386,0.9880952380952381,0.9879518072289156,0.9940476190476191,341,114,114,30,25,0.8504398826979472,logistic
breast_cancer,mcar,unlabeled,46,0.2,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9847883597883598,341,114,114,30,25,0.7419354838709677,logistic
breast_cancer,mcar,unlabeled,46,0.3,ok,0.9736842105263158,0.9742063492063492,0.9647058823529412,0.9983465608465609,341,114,114,30,25,0.6480938416422287,logistic
breast_cancer,mcar,unlabeled,46,0.4,ok,0.9824561403508771,0.9761904761904762,0.975609756097561,0.9834656084656084,341,114,114,30,25,0.5542521994134897,logistic
breast_cancer,mcar,unlabeled,46,0.5,ok,0.9824561403508771,0.9761904761904762,0.975609756097561,0.9821428571428571,341,114,114,30,25,0.4574780058651026,logistic
breast_cancer,mar1,naive,42,0.1,ok,0.9649122807017544,0.9573412698412699,0.9512195121951219,0.9940476190476191,341,114,114,30,25,0.8856304985337243,
breast_cancer,mar1,naive,42,0.2,ok,0.9649122807017544,0.9573412698412699,0.9512195121951219,0.9940476190476191,341,114,114,30,25,0.7624633431085044,
breast_cancer,mar1,naive,42,0.3,ok,0.9649122807017544,0.9573412698412699,0.9512195121951219,0.9930555555555556,341,114,114,30,25,0.6774193548387096,
breast_cancer,mar1,naive,42,0.4,ok,0.9649122807017544,0.9573412698412699,0.9512195121951219,0.9923941798941799,341,114,114,30,25,0.6099706744868035,
breast_cancer,mar1,naive,42,0.5,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9930555555555556,341,114,114,30,25,0.5131964809384164,
breast_cancer,mar1,naive,43,0.1,ok,0.9912280701754386,0.9880952380952381,0.9879518072289156,0.9834656084656085,341,114,114,30,24,0.8973607038123167,
breast_cancer,mar1,naive,43,0.2,ok,0.9824561403508771,0.9761904761904762,0.975609756097561,0.9818121693121694,341,114,114,30,24,0.8181818181818182,
breast_cancer,mar1,naive,43,0.3,ok,0.9824561403508771,0.9761904761904762,0.975609756097561,0.9771825396825398,341,114,114,30,24,0.7038123167155426,
breast_cancer,mar1,naive,43,0.4,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9765211640211641,341,114,114,30,24,0.6129032258064516,
breast_cancer,mar1,naive,43,0.5,ok,0.9824561403508771,0.9761904761904762,0.975609756097561,0.9768518518518519,341,114,114,30,24,0.5131964809384164,
breast_cancer,mar1,naive,44,0.1,ok,0.9473684210526315,0.933531746031746,0.925,0.9910714285714286,341,114,114,30,25,0.9120234604105572,
breast_cancer,mar1,naive,44,0.2,ok,0.9385964912280702,0.9216269841269842,0.9113924050632911,0.9884259259259259,341,114,114,30,25,0.8093841642228738,
breast_cancer,mar1,naive,44,0.3,ok,0.9473684210526315,0.933531746031746,0.925,0.9880952380952381,341,114,114,30,25,0.7096774193548387,
breast_cancer,mar1,naive,44,0.4,ok,0.9473684210526315,0.933531746031746,0.925,0.9877645502645502,341,114,114,30,25,0.5982404692082112,
breast_cancer,mar1,naive,44,0.5,ok,0.9473684210526315,0.933531746031746,0.925,0.9857804232804233,341,114,114,30,25,0.501466275659824,
breast_cancer,mar1,naive,45,0.1,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9937169312169312,341,114,114,30,24,0.9090909090909091,
breast_cancer,mar1,naive,45,0.2,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9953703703703705,341,114,114,30,24,0.8181818181818182,
breast_cancer,mar1,naive,45,0.3,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9940476190476191,341,114,114,30,24,0.7096774193548387,
breast_cancer,mar1,naive,45,0.4,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9950396825396826,341,114,114,30,24,0.5865102639296188,
breast_cancer,mar1,naive,45,0.5,ok,0.9912280701754386,0.9880952380952381,0.9879518072289156,0.9996693121693122,341,114,114,30,24,0.49560117302052786,
breast_cancer,mar1,naive,46,0.1,ok,0.9824561403508771,0.9811507936507937,0.9761904761904762,0.9923941798941799,341,114,114,30,25,0.8826979472140762,
breast_cancer,mar1,naive,46,0.2,ok,0.9912280701754386,0.9880952380952381,0.9879518072289156,0.986441798941799,341,114,114,30,25,0.7624633431085044,
breast_cancer,mar1,naive,46,0.3,ok,0.9912280701754386,0.9880952380952381,0.9879518072289156,0.9847883597883598,341,114,114,30,25,0.6363636363636364,
breast_cancer,mar1,naive,46,0.4,ok,0.9824561403508771,0.9761904761904762,0.975609756097561,0.984457671957672,341,114,114,30,25,0.530791788856305,
breast_cancer,mar1,naive,46,0.5,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9791666666666667,341,114,114,30,25,0.44574780058651026,
breast_cancer,mar1,oracle,42,0.1,ok,0.9736842105263158,0.9692460317460317,0.963855421686747,0.9950396825396826,341,114,114,30,25,0.8856304985337243,
breast_cancer,mar1,oracle,42,0.2,ok,0.9736842105263158,0.9692460317460317,0.963855421686747,0.9950396825396826,341,114,114,30,25,0.7624633431085044,
breast_cancer,mar1,oracle,42,0.3,ok,0.9736842105263158,0.9692460317460317,0.963855421686747,0.9950396825396826,341,114,114,30,25,0.6774193548387096,
breast_cancer,mar1,oracle,42,0.4,ok,0.9736842105263158,0.9692460317460317,0.963855421686747,0.9950396825396826,341,114,114,30,25,0.6099706744868035,
breast_cancer,mar1,oracle,42,0.5,ok,0.9736842105263158,0.9692460317460317,0.963855421686747,0.9950396825396826,341,114,114,30,25,0.5131964809384164,
breast_cancer,mar1,oracle,43,0.1,ok,0.9912280701754386,0.9880952380952381,0.9879518072289156,0.9841269841269841,341,114,114,30,24,0.8973607038123167,
breast_cancer,mar1,oracle,43,0.2,ok,0.9912280701754386,0.9880952380952381,0.9879518072289156,0.9841269841269841,341,114,114,30,24,0.8181818181818182,
breast_cancer,mar1,oracle,43,0.3,ok,0.9912280701754386,0.9880952380952381,0.9879518072289156,0.9841269841269841,341,114,114,30,24,0.7038123167155426,
breast_cancer,mar1,oracle,43,0.4,ok,0.9912280701754386,0.9880952380952381,0.9879518072289156,0.9841269841269841,341,114,114,30,24,0.6129032258064516,
breast_cancer,mar1,oracle,43,0.5,ok,0.9912280701754386,0.9880952380952381,0.9879518072289156,0.9841269841269841,341,114,114,30,24,0.5131964809384164,
breast_cancer,mar1,oracle,44,0.1,ok,0.9473684210526315,0.9384920634920635,0.926829268292683,0.9917328042328042,341,114,114,30,25,0.9120234604105572,
breast_cancer,mar1,oracle,44,0.2,ok,0.9473684210526315,0.9384920634920635,0.926829268292683,0.9917328042328042,341,114,114,30,25,0.8093841642228738,
breast_cancer,mar1,oracle,44,0.3,ok,0.9473684210526315,0.9384920634920635,0.926829268292683,0.9917328042328042,341,114,114,30,25,0.7096774193548387,
breast_cancer,mar1,oracle,44,0.4,ok,0.9473684210526315,0.9384920634920635,0.926829268292683,0.9917328042328042,341,114,114,30,25,0.5982404692082112,
breast_cancer,mar1,oracle,44,0.5,ok,0.9473684210526315,0.9384920634920635,0.926829268292683,0.9917328042328042,341,114,114,30,25,0.501466275659824,
breast_cancer,mar1,oracle,45,0.1,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9953703703703705,341,114,114,30,24,0.9090909090909091,
breast_cancer,mar1,oracle,45,0.2,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9953703703703705,341,114,114,30,24,0.8181818181818182,
breast_cancer,mar1,oracle,45,0.3,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9953703703703705,341,114,114,30,24,0.7096774193548387,
breast_cancer,mar1,oracle,45,0.4,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9953703703703705,341,114,114,30,24,0.5865102639296188,
breast_cancer,mar1,oracle,45,0.5,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9953703703703705,341,114,114,30,24,0.49560117302052786,
breast_cancer,mar1,oracle,46,0.1,ok,0.9824561403508771,0.9811507936507937,0.9761904761904762,0.9930555555555555,341,114,114,30,25,0.8826979472140762,
breast_cancer,mar1,oracle,46,0.2,ok,0.9824561403508771,0.9811507936507937,0.9761904761904762,0.9930555555555555,341,114,114,30,25,0.7624633431085044,
breast_cancer,mar1,oracle,46,0.3,ok,0.9824561403508771,0.9811507936507937,0.9761904761904762,0.9930555555555555,341,114,114,30,25,0.6363636363636364,
breast_cancer,mar1,oracle,46,0.4,ok,0.9824561403508771,0.9811507936507937,0.9761904761904762,0.9930555555555555,341,114,114,30,25,0.530791788856305,
breast_cancer,mar1,oracle,46,0.5,ok,0.9824561403508771,0.9811507936507937,0.9761904761904762,0.9930555555555555,341,114,114,30,25,0.44574780058651026,
breast_cancer,mar1,unlabeled,42,0.1,ok,0.9649122807017544,0.9623015873015872,0.9523809523809523,0.9933862433862434,341,114,114,30,25,0.8856304985337243,logistic
breast_cancer,mar1,unlabeled,42,0.2,ok,0.9473684210526315,0.9434523809523809,0.9285714285714286,0.9937169312169313,341,114,114,30,25,0.7624633431085044,logistic
breast_cancer,mar1,unlabeled,42,0.3,ok,0.9473684210526315,0.9434523809523809,0.9285714285714286,0.9937169312169313,341,114,114,30,25,0.6774193548387096,logistic
breast_cancer,mar1,unlabeled,42,0.4,ok,0.9473684210526315,0.9434523809523809,0.9285714285714286,0.9937169312169313,341,114,114,30,25,0.6099706744868035,logistic
breast_cancer,mar1,unlabeled,42,0.5,ok,0.9473684210526315,0.9434523809523809,0.9285714285714286,0.9937169312169313,341,114,114,30,25,0.5131964809384164,logistic
breast_cancer,mar1,unlabeled,43,0.1,ok,0.9649122807017544,0.9672619047619048,0.9534883720930233,0.9854497354497355,341,114,114,30,24,0.8973607038123167,logistic
breast_cancer,mar1,unlabeled,43,0.2,ok,0.9649122807017544,0.9672619047619048,0.9534883720930233,0.984457671957672,341,114,114,30,24,0.8181818181818182,logistic
breast_cancer,mar1,unlabeled,43,0.3,ok,0.9385964912280702,0.9365079365079365,0.9176470588235294,0.9742063492063491,341,114,114,30,24,0.7038123167155426,logistic
breast_cancer,mar1,unlabeled,43,0.4,ok,0.9649122807017544,0.9623015873015872,0.9523809523809523,0.976521164021164,341,114,114,30,24,0.6129032258064516,logistic
breast_cancer,mar1,unlabeled,43,0.5,ok,0.9649122807017544,0.9623015873015872,0.9523809523809523,0.976521164021164,341,114,114,30,24,0.5131964809384164,logistic
breast_cancer,mar1,unlabeled,44,0.1,ok,0.9473684210526315,0.933531746031746,0.925,0.9923941798941798,341,114,114,30,25,0.9120234604105572,logistic
breast_cancer,mar1,unlabeled,44,0.2,ok,0.9473684210526315,0.9384920634920635,0.926829268292683,0.9857804232804233,341,114,114,30,25,0.8093841642228738,logistic
breast_cancer,mar1,unlabeled,44,0.3,ok,0.9473684210526315,0.933531746031746,0.925,0.9861111111111112,341,114,114,30,25,0.7096774193548387,logistic
breast_cancer,mar1,unlabeled,44,0.4,ok,0.9298245614035088,0.9196428571428572,0.9024390243902439,0.9890873015873016,341,114,114,30,25,0.5982404692082112,logistic
breast_cancer,mar1,unlabeled,44,0.5,ok,0.9473684210526315,0.9384920634920635,0.926829268292683,0.9854497354497354,341,114,114,30,25,0.501466275659824,logistic
breast_cancer,mar1,unlabeled,45,0.1,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9914021164021163,341,114,114,30,24,0.9090909090909091,logistic
breast_cancer,mar1,unlabeled,45,0.2,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9914021164021163,341,114,114,30,24,0.8181818181818182,logistic
breast_cancer,mar1,unlabeled,45,0.3,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9957010582010581,341,114,114,30,24,0.7096774193548387,logistic
breast_cancer,mar1,unlabeled,45,0.4,ok,0.9736842105263158,0.9742063492063492,0.9647058823529412,0.9933862433862434,341,114,114,30,24,0.5865102639296188,logistic
breast_cancer,mar1,unlabeled,45,0.5,ok,0.9824561403508771,0.9811507936507937,0.9761904761904762,0.9996693121693122,341,114,114,30,24,0.49560117302052786,logistic
breast_cancer,mar1,unlabeled,46,0.1,ok,0.9912280701754386,0.9880952380952381,0.9879518072289156,0.9940476190476191,341,114,114,30,25,0.8826979472140762,logistic
breast_cancer,mar1,unlabeled,46,0.2,ok,0.9824561403508771,0.9761904761904762,0.975609756097561,0.9857804232804233,341,114,114,30,25,0.7624633431085044,logistic
breast_cancer,mar1,unlabeled,46,0.3,ok,0.9736842105263158,0.9742063492063492,0.9647058823529412,0.9983465608465609,341,114,114,30,25,0.6363636363636364,logistic
breast_cancer,mar1,unlabeled,46,0.4,ok,0.9824561403508771,0.9761904761904762,0.975609756097561,0.9821428571428571,341,114,114,30,25,0.530791788856305,logistic
breast_cancer,mar1,unlabeled,46,0.5,ok,0.9824561403508771,0.9761904761904762,0.975609756097561,0.9821428571428571,341,114,114,30,25,0.44574780058651026,logistic
breast_cancer,mar2,naive,42,0.1,ok,0.9736842105263158,0.9692460317460317,0.963855421686747,0.9957010582010581,341,114,114,30,25,0.9002932551319648,
breast_cancer,mar2,naive,42,0.2,ok,0.9649122807017544,0.9573412698412699,0.9512195121951219,0.9927248677248677,341,114,114,30,25,0.7859237536656891,
breast_cancer,mar2,naive,42,0.3,ok,0.9649122807017544,0.9573412698412699,0.9512195121951219,0.9957010582010581,341,114,114,30,25,0.6920821114369502,
